BrandName,category,Individual_category,discounted_price,OriginalPrice (in Rs),Discount,SizeOption,ratings,Reviews
Sztori,Indian Wear,kurtis,675,1499,55%,"XXL, 3XL, 4XL, 5XL, 6XL",4.2,19
Tokyo Talkies,Indian Wear,shirts,600,1499,60%,"XS, S, M, L, XL",4.4,19
Sangria,Indian Wear,kurtas,450,1499,70%,"XS, S, M, L, XL, XXL",4.7,19
Sangria,Indian Wear,kurtas,450,1499,70%,"XS, S, M, L, XL, XXL",4.1,19
Janasya,Indian Wear,kurtas,824,1499,45%,"XS, S, M, L, XL, XXL, 3XL",4.4,19
Libas,Indian Wear,kurtas,675,1499,55%,"XS, S, M, L, XL, XXL",3.6,19
Shae by SASSAFRAS,Indian Wear,kurtas,675,1499,55%,"XS, S, M, L, XL, XXL",4.2,19
Anouk,Indian Wear,kurtas,600,1499,60%,"XS, S, M, L, XL, XXL",3.9,19
TAG 7,Indian Wear,palazzos,480,1499,68%,"28, 30, 32, 34, 36, 38",4.1,19
studio rasa,Indian Wear,tops,750,1499,50%,"S, M, L, XL",4.1,19
Bitterlime,Indian Wear,dupatta,750,1499,50%,Onesize,4.3,19
WEAVERS VILLA,Indian Wear,shawl,824,1499,45%,Onesize,3.7,19
Sangria,Indian Wear,kurta-sets,800,1599,50%,"XS, S, M, L, XL, XXL",4.2,19
Biba,Indian Wear,tunics,800,1599,50%,"S, L",4.1,19
Global Desi,Indian Wear,tops,879,1599,45%,"XS, S, M, L, XL, XXL",4.3,19
IMARA,Indian Wear,dresses,800,1599,50%,"S, M, L, XL, XXL",3.8,19
Clora Creation,Indian Wear,skirts,1087,1599,32%,"28, 30, 32, 34, 36, 38, 40",4.3,19
MIMOSA,Indian Wear,dupatta,879,1599,45%,Onesize,4.6,19
Clora Creation,Indian Wear,dupatta,1087,1599,32%,Onesize,3.7,19
Rajnandini,Indian Wear,dress-material,582,1663,65%,Onesize,3.9,19
Rajnandini,Indian Wear,sarees,416,1663,75%,Onesize,4.4,19
Ruhaans,Indian Wear,tunics,799,1699,53%,"S, M, L, XL, XXL",4.5,19
Bhama Couture,Indian Wear,tops,810,1799,55%,"S, M, L, XL",4.2,19
