BrandName,Category,Individual_category,Description,discount_price,original_price,discount,SizeOption,ratings,reviews
WROGN,Topwear,jackets,wrogn men brown solid biker jacket,1799,4499,60%,"M, L, XL, XXL",4.3,934
Roadster,Topwear,shirts,roadster men charcoal grey regular fit printed sustainable casual shirt,824,1499,45%,"38, 40, 42, 44, 46, 48",4,933
WROGN,Topwear,tshirts,wrogn men charcoal grey printed v neck slim fit pure cotton t shirt,499,999,50%,"S, M, L, XL, XXL",3.8,933
Roadster,Bottom Wear,jeans,roadster men blue super skinny fit mid rise mildly distressed stretchable jeans,719,1799,60%,"28, 30, 32, 34, 36",3.8,932
HIGHLANDER,Bottom Wear,trousers,highlander men olive green slim fit chinos,769,999,23%,"30, 32, 34, 36",4,931
HIGHLANDER,Topwear,shirts,highlander men rust red  off white slim fit printed casual shirt,516,1099,53%,"39, 40, 42, 44",4.3,927
Mast & Harbour,Topwear,tshirts,mast  harbour men multicoloured striped round neck t shirt,449,899,50%,"S, M, L, XL",4.2,926
Roadster,Topwear,tshirts,roadster men blue  white striped round neck pure cotton t shirt,449,899,50%,"XS, S, M, L, XL, XXL, 3XL, 4XL",4.3,926
HRX by Hrithik Roshan,Bottom Wear,shorts,hrx by hrithik roshan men navy solid rapid dry running shorts,679,1699,60%,"28, 30, 32, 34, 36",4.3,925
Anouk,Topwear,kurtas,anouk men navy blue solid straight kurta,599,1499,60%,"S, M, L, XL, XXL",3.8,925
Bewakoof,Topwear,tshirts,bewakoof men white solid round neck pure cotton t shirt,449,499,10%,"S, M, L, XL, XXL, 3XL",4.1,924
Campus Sutra,Bottom Wear,jeans,campus sutra men blue jogger fit mid rise clean look stretchable jeans,816,1899,57%,"30, 32, 34, 36",3.7,883
DEYANN,Indian Wear,kurta-sets,deyann men blue  cream coloured self design kurta with pyjamas,1436,3590,60%,"S, M, L, XL, XXL, 3XL",3.9,883
WROGN,Topwear,tshirts,wrogn men rust orange  black striped slim fit round neck pure cotton t shirt,599,1199,50%,"S, M, L, XL, XXL",4.3,882
HERE&NOW,Topwear,tshirts,herenow men white striped cotton pure cotton t shirt,454,1299,65%,"S, M, L, XL, XXL",4.1,882
Campus Sutra,Topwear,shirts,campus sutra men blue  grey regular fit colourblocked casual shirt,644,1499,57%,"38, 40, 42, 44",3.9,880
HRX by Hrithik Roshan,Bottom Wear,track-pants,hrx by hrithik roshan men grey melange solid rapid dry training joggers,919,2299,60%,"S, M, L, XL, XXL",4.3,877
HRX by Hrithik Roshan,Bottom Wear,track-pants,hrx by hrithik roshan active men teal green solid rapid dry track pants,944,2099,55%,"S, M, L, XL, XXL",4.1,877
Black coffee,Bottom Wear,trousers,black coffee men charcoal grey formal trousers,742,1649,55%,"30, 32, 34, 36",4.1,877
Campus Sutra,Topwear,tshirts,campus sutra men blue solid round neck pure cotton t shirt,386,899,57%,"S, M, L, XL",3.8,877
HIGHLANDER,Topwear,shirts,highlander men orange  peach coloured slim fit solid casual shirt,539,1349,60%,"39, 40, 42, 44",3.8,865
Roadster,Topwear,shirts,roadster men navy blue checked pure cotton sustainable casual shirt,779,1299,40%,"38, 40, 42, 44",4.3,863
HERE&NOW,Bottom Wear,track-pants,herenow men navy solid straight fit joggers,674,1499,55%,"S, M, L, XL",3.9,862
SPYKAR,Bottom Wear,shorts,spykar men brown printed slim fit regular shorts,799,1999,60%,"28, 30, 32, 34, 36, 38",4.7,9
French Connection,Bottom Wear,shorts,french connection men black slim fit chino shorts,999,1999,50%,"28, 30, 32, 34, 36, 38",4.9,9
Louis Philippe Sport,Bottom Wear,shorts,louis philippe sport men beige striped slim fit low rise regular shorts,1519,1899,20%,"30, 32, 34, 36, 38",4.8,9
HIGHLANDER,Bottom Wear,shorts,highlander men pink slim fit high rise cargo shorts,739,1849,60%,"30, 32, 34, 36",4.7,9
Peter England Casuals,Bottom Wear,jeans,peter england casuals men navy blue slim fit jeans,1039,1599,35%,"28, 30, 32, 34, 36, 38",3.4,9
Urbano Plus,Bottom Wear,shorts,urbano plus men brown denim shorts,863,1599,46%,"36, 38, 40, 42, 44",3.2,9
Peter England,Bottom Wear,trousers,peter england men charcoal black  white checked slim fit trousers,909,1399,35%,"28, 30, 32, 34, 36, 38",4.8,9
Maniac,Bottom Wear,track-pants,maniac men black  white cotton colourblocked joggers,637,1329,52%,"S, M, L, XL",3.3,9
Cherokee,Bottom Wear,jeans,cherokee men blue regular fit jeans,909,1299,30%,"30, 32, 34, 36, 38",3.3,9
Basics,Bottom Wear,trousers,basics men grey comfort fit trousers,599,1199,50%,"28, 30, 32, 34, 36",2.8,9
Alcis,Bottom Wear,shorts,alcis men navy blue printed slim fit mid rise sports shorts,599,1199,50%,"30, 32, 34, 37, 41",3.7,9
Forca,Bottom Wear,track-pants,forca men black solid slim fit joggers,719,1199,40%,"S, M, L, XL, XXL",3.7,9
